SIGLA_PARTIDO,PREFEITO,VEREADOR
DEM,2146429,1994944
NOVO,38512,227443
PC do B,414711,678467
PCB,17734,8485
PCO,4949,813
PDT,1473190,1490938
PEN,116482,584436
PHS,1319176,1098255
PMB,80631,263132
PMDB,6295568,3183501
PMN,116370,548889
PODE,3287,NA
PP,1242682,1578761
PPL,18822,126167
PPS,2094397,1500896
PR,1919953,1717846
PRB,4866094,1770965
PROS,228780,664928
PRP,50172,608582
PRTB,69260,445393
PSB,3796972,1899759
PSC,704920,1227449
PSD,2479070,1916643
PSDB,10821199,3480249
PSDC,63102,521376
PSL,99188,672052
PSOL,2499140,661979
PSTU,38829,15520
PT,2960729,2160955
PT do B,168370,623149
PTB,1425311,2025378
PTC,129946,536466
PTN,772526,893087
PV,1520494,1627279
REDE,390991,357847
SD,609659,1150913
